"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"DD190.3.S67 D84 2010","4","0"
"BS1335.52 .S68 2010","1","1"
"P95.45 .H47 2010","1","1"
"PS3616.A74523 T37 2010","0","0"
"E840 .W54 2010","1","0"
"PR9199.4.H356 T47 2009","1","0"
"PR9639.4.B74 T54 2010","0","0"
"PS3563.A653 T56 2010","15","2"
"PS3613.E979 Z887 2010","3","0"
"BT65 .O33 2010","2","0"
"PS3613.O334 V46 2010","0","0"
"PR9369.3.B67 V65 2009","1","0"
"PJ7694.E3 V65 2009","0","2"
"PR9199.3.D64 W38 2009","0","0"
"PR9199.3.R4215 W43 2009","0","0"
"BL265.T4 C36 2010","9","0"
"PS3612.E3 W55 2010","0","0"
"PR9199.3.W597 A6 2009","0","0"
"BT702 .H43 2010","1","0"
"PS3558.I3657 Y68 2009","0","0"
"BF1773.2.S38 S69 2009","1","0"
"HC445.5.Z9 E517 2002","1","3"
"HC835.Z7 A237 2010","0","0"
"PT246 .B88 2010","3","0"
"BL1243.78.M42 B386 2007","1","0"
"HQ60.7.E85 F73 2010","0","0"
"PT2672.E895 M67 2010","0","0"
"PT405 .I39 2010","0","0"
"CS569.B392 B38 2007","1","0"
"JF1525.C59 V64 2010","0","0"
"B829.5 .B682 2010","0","0"
"DT159.6.D27 T86 2007","1","0"
"DT549.9.S24 T45 2004","0","0"
"BM177 .S29 2010","13","0"
"DT549.9.S24 S92 2009","0","0"
"CR1619 .D53 1992","2","1"
"JN3971.A95 E58 2010","0","1"
"KNW2340 .Y34 2008","0","0"
"HT178.G42 H2688 2010","0","0"
"PQ3989.2.G795 D3 2009","1","0"
"HQ1170 .H66 2009","3","0"
"PS3558.U3745 S77 2007","1","0"
"PS3558.U3745 P37 2008","1","0"
"PS3554.A925 K5 1996","2","0"
"PS217.B63 E88 2010","4","0"
"PS3565.M347 A64 1987","2","0"
"PS3563.A7267 M87 2008","1","0"
