"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"HV6626.2 .M58 2008","3","0"
"HN49.C6 M3296 2008","0","1"
"HQ767.9 .C376 2007","1","0"
"PS217.C58 S59 2000","3","0"
"PQ6653.H7 I57 2007","0","0"
"PG3453.B62 Z83 2005","1","0"
"PQ7298.29.A42 J84 2007","0","0"
"PQ8098.41.M57 I34 2007","0","0"
"PQ7298.17.U812 I48 2006","0","0"
"PQ7798.12.I635 E76 2003","2","1"
"PG3484.O8636 S56 2007","0","0"
"DE100 .B35 2006","0","0"
"PL1420 .G75 2002","0","0"
"PQ8098.1.V3 C54 2007","0","0"
"PQ7298.26.E69895 C37 2006","2","0"
"B105.V5 Z59 2008","17","1"
"PL2727.S2 X823 2007","2","0"
"PQ8498.428.O45 G46 2007","0","0"
"LC4801 .H65 2008","3","1"
"PL2883.N4858 Y85 2007","0","0"
"PQ8498.429.A582 E8 2007","1","0"
"HV6431 .V47 2008","0","0"
"PQ6651.L4835 C66 2007","0","0"
"PQ7392.F857 A8 2005","1","0"
"PQ8498.12.E44 C8 2007","0","0"
"PQ7298.26.L37 Z6 2006","2","0"
"RC488.5 .T75 2008","3","2"
"PQ8550.422 .U34 I58 2006","1","0"
"HD30.2 .T79 2008","0","0"
"HC430.I5 U52 2008","0","1"
"HG4529.5 .M87 2008","2","0"
"HV6431 .H553 2008","8","1"
"PQ7798.428.I64 C78 2007","1","0"
"LB1028 .D74 2008","3","0"
"PQ7390.G6127 H65 2005","1","0"
"HC383 .R69 2008","4","0"
"PQ8498.14.O483 H67 2003","0","1"
"LC2717 .S59 2008","3","1"
"PQ7798.16.I339 F67 2007","1","0"
"PQ7798.14.A48 F84 2007","1","0"
"PQ8220.28.O5 H57 2005","0","0"
"PQ6707.A374 E73 2007","0","0"
"PQ7798.413.A4 A4 2007","1","0"
"PQ8498.41.G85 C66 2007","1","0"
"DT1410.C83 E88 2006","2","0"
"PG3484.O825 U25 2007","0","1"
"PQ7390.M193 A6 2007","1","0"
